Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2025,Pebble Beach Golf Links,4,15,4,3.808,0,21,52,4,1,0.4039330512220754,0.5960669487779247
2025,Pebble Beach Golf Links,4,16,4,3.949,0,12,58,8,0,0.5911128811179376,0.4088871188820624
2025,Pebble Beach Golf Links,4,17,3,3.103,0,6,59,12,1,0.518740406132915,0.48125959386708494
2025,Pebble Beach Golf Links,4,18,5,4.487,5,45,17,9,1,0.4409172411164809,0.5590827588835191
2025,Pebble Beach Golf Links,3,1,4,3.823,0,22,49,8,0,0.597037039947929,0.402962960052071
2025,Pebble Beach Golf Links,3,2,5,4.38,6,42,26,5,0,0.3889513154629716,0.6110486845370284
2025,Pebble Beach Golf Links,3,3,4,4.051,1,13,47,17,1,0.6180525487464703,0.3819474512535297
2025,Pebble Beach Golf Links,3,4,4,3.937,0,15,55,8,1,0.6111893517780381,0.3888106482219619
2025,Pebble Beach Golf Links,3,5,3,3.291,0,8,43,25,3,0.3633689591390845,0.6366310408609155
2025,Pebble Beach Golf Links,3,6,5,4.861,1,25,41,8,4,0.49935282891790683,0.5006471710820932
2025,Pebble Beach Golf Links,3,7,3,2.937,0,18,49,11,1,0.4557812720376076,0.5442187279623925
2025,Pebble Beach Golf Links,3,8,4,4.152,0,11,50,14,3,0.5247388688458463,0.4752611311541537
2025,Pebble Beach Golf Links,3,9,4,4.443,0,1,43,34,1,0.46385732589766226,0.5361426741023377
2025,Pebble Beach Golf Links,3,10,4,4.101,0,15,44,17,3,0.5428339383052084,0.45716606169479157
2025,Pebble Beach Golf Links,3,11,4,3.696,0,28,47,4,0,0.45785844633889405,0.542141553661106
2025,Pebble Beach Golf Links,3,12,3,3.089,0,12,51,14,1,0.46308641091682823,0.5369135890831718
2025,Pebble Beach Golf Links,3,13,4,3.962,0,14,54,11,0,0.5921472957124964,0.40785270428750364
2025,Pebble Beach Golf Links,3,14,5,4.696,1,29,42,7,0,0.5927640876065762,0.4072359123934238
2025,Pebble Beach Golf Links,3,15,4,3.848,0,17,57,5,0,0.5638335998057804,0.4361664001942196
2025,Pebble Beach Golf Links,3,16,4,4.076,0,7,60,11,1,0.5508794121955122,0.4491205878044878
